主	0x4e3b	py:zhǔ/zhù,Cant:zyu2,JOn:shu su,JKun:nushi omo aruji,Hangul:주,KoRom:cwu,Viet:chúa,wb:ygd,zm:scvv,sn:5,rd:丶,st:41121	en:master, chief owner; host; lord	
丼	0x4e3c	py:jǐng/dǎn,Cant:zeng2/zing2,JOn:sei tan shou,JKun:donburi,KoRom:ceng,wb:fjyi,zm:bdns,sn:5,rd:丶,st:11324	en:bowl of food; well	
丽	0x4e3d	py:lì/lí,Cant:lai6,JOn:rei,JKun:uruwashi,wb:gmyy,zm:alld,sn:7,rd:丶一,st:1254254	en:beautiful, magnificent, elegant	
举	0x4e3e	py:jǔ,Cant:geoi2,JOn:kyo,JKun:ageru,wb:iwfh,zm:vdob,sn:9,rd:丶,st:443134112	en:raise, lift up; recommend	
丿	0x4e3f	py:piě/yì,Cant:pit3,JOn:hetsu hechi you,JKun:motoru,KoRom:pyel,Viet:phết,wb:ttll,zm:maaa,sn:1,rd:丿,st:3	en:line; KangXi radical 4	
乀	0x4e40	py:fú,JOn:futsu buchi,JKun:magaru,KoRom:pwul,wb:nnll,zm:ydaa,sn:1,rd:丿,st:5	en:stretch	
乁	0x4e41	py:yí/jí,JOn:i,JKun:nagareru,wb:gyi,zm:ydaa,sn:1,rd:丿,st:5	
乂	0x4e42	py:yì/ài,Cant:ngaai6,JOn:gai ge,JKun:karu osameru osamaru,Hangul:예,KoRom:yey,Viet:nghệ,wb:qty,zm:os,sn:2,rd:丿,st:34	en:govern, control, manage; nurture	
乃	0x4e43	py:nǎi/ǎi,Cant:naai5/oi2,JOn:dai ai nai,JKun:sunawachi no,Hangul:내,KoRom:nay,Viet:nải,wb:etn,zm:ymvv,sn:2,rd:丿,st:53	en:then; really, indeed; as it turned out, after all; namely	
乄	0x4e44	JKun:shime shite,wb:nyi,zm:zsvv,sn:2,rd:丿,st:54	en:SHIME: to find a place to dwell; sum; a measurement of paper; SHITE to do; (not to be confused with U3024 HANGZHOU NUMERAL FIVE)	
久	0x4e45	py:jiǔ,Cant:gau2,JOn:kyuu ku,JKun:hisashii,Hangul:구,KoRom:kwu,Viet:cửu,wb:qyi,zm:rsvv,sn:3,rd:丿,st:354	en:long time (ago); time passage, grow late	
乆	0x4e46	py:jiǔ,JOn:kyuu ku,JKun:hisashii,KoRom:kwu,wb:nwi,zm:zod,sn:3,rd:丿,st:534	en:long time (ago); time passage, grow late	
乇	0x4e47	py:zhé/nüè/zhè/tuō,Cant:tok3/zaak6,JOn:taku chaku,KoRom:cek,wb:tav,zm:mhd,sn:3,rd:丿,st:315	en:to depend on, to entrust with	
么	0x4e48	py:yāo/mo/me/ma/mǒ,Cant:jiu1/mo1,JOn:eu,KoRom:yo,wb:tcu,zm:mzs,sn:3,rd:丿,st:354	en:interrogative particle; repetition of a tune small; tender	
义	0x4e49	py:yì,Cant:ji6,wb:yqi,zm:sos,sn:3,rd:丶丿,st:434	en:right conduct, righteousness	
乊	0x4e4a	wb:tue,zm:mud,sn:3,rd:丿,st:343	en:kwukyel	
之	0x4e4b	py:zhī/zhù/zhì,Cant:zi1,JOn:shi,JKun:yuku kore no,Hangul:지,KoRom:ci,Viet:chi,wb:pppp,zm:wa,sn:3,rd:丿丶,st:454	en:marks preceding phrase as modifier of following phrase; it, him her, them; go to	
乌	0x4e4c	py:wū/wù,Cant:wu1,wb:qngd,zm:rza,sn:4,rd:丿,st:3551	en:crow, rook, raven; black, dark	
乍	0x4e4d	py:zhà/zuò,Cant:zaa3/zaa6/zok3,JOn:saku sa,JKun:tachimachi nagara,Hangul:사,KoRom:sa,Viet:chạ,wb:thfd,zm:maid,sn:5,rd:丿,st:31211	en:first time, for the first time	
乎	0x4e4e	py:hū/hú,Cant:fu1/fu4/wu4,JOn:ko,JKun:yo kana ka,Hangul:호,KoRom:ho,Viet:hồ,wb:tuhk,zm:mua,sn:5,rd:丿,st:34312	en:interrogative or exclamatory final particle	
乏	0x4e4f	py:fá,Cant:fat6,JOn:bou,JKun:toboshii,Hangul:핍,KoRom:phip,Viet:phạp,wb:tpi,zm:mwvv,sn:4,rd:丿,st:3454	en:lack; poor	
乐	0x4e50	py:lè/yuè/yào/luò/liáo,Cant:lok6/ngok6,wb:qii,zm:rhko,sn:5,rd:丿,st:35234	en:happy, glad; enjoyable; music	
乑	0x4e51	py:yín/pān/zhòng,JOn:gin gon,JKun:narabitatsu,KoRom:im,wb:tii,zm:gqaa,sn:6,rd:丿,st:323334	en:stand side by side	
乒	0x4e52	py:pīng,Cant:bing1/ping1,JOn:hei,wb:rgtr,zm:pdam,sn:6,rd:丿,st:321213	en:used with pong for ping pong	
乓	0x4e53	py:pāng/pang,Cant:bam1/pong1,JOn:hau,wb:rgyu,zm:pdas,sn:6,rd:丿,st:321214	en:used with ping for ping pong	
乔	0x4e54	py:qiáo,Cant:kiu4,wb:tdjj,zm:mgnd,sn:6,rd:丿,st:313432	en:tall, lofty; proud, stately	
乕	0x4e55	py:hǔ,JOn:ko,JKun:tora,wb:rfmh,zm:pdbl,sn:7,rd:丿,st:3311252	en:tiger; brave, fierce; surname	
乖	0x4e56	py:guāi,Cant:gwaai1,JOn:kai,JKun:modoru somuku,Hangul:괴,KoRom:koy,Viet:quai,wb:tfux,zm:metr,sn:8,rd:丿,st:31221135	en:rebel; crafty, shrewd	
乗	0x4e57	py:chéng/shèng,JOn:jou shou,JKun:noru noseru,KoRom:sung,wb:tgai,zm:mfea,sn:9,rd:丿,st:311221234	en:ride, ascend; avail oneself of; numerary adjunct for vehicles	
乘	0x4e58	py:chéng/shèng,Cant:sing4/sing6,JOn:jou shou,JKun:noru,Hangul:승,KoRom:sung,Viet:thặng,wb:tuxv,zm:mftr,sn:10,rd:丿,st:3122113534	en:ride, ascend; avail oneself of; numerary adjunct for vehicles	
乙	0x4e59	py:yǐ/yì/jué,Cant:jyut3/jyut6,JOn:otsu,JKun:kinoto oto,Hangul:을,KoRom:ul,Viet:ất,wb:nnll,zm:yda,sn:1,rd:乙,st:5	en:second; 2nd heavenly stem	
乚	0x4e5a	py:yǐn,JOn:in on,JKun:kakureru,wb:nnll,zm:zaaa,sn:1,rd:乙,st:5	en:hidden, mysterious, secret; to conceal; small; minute	
乛	0x4e5b	wb:nnll,zm:xaaa,sn:1,rd:乙,st:5	en:kwukyel	
乜	0x4e5c	py:miē/niè,Cant:mat1/me1/me2/me5/mi1/ne6,JOn:ba me,JKun:yabunirami,KoRom:mya,wb:nnv,zm:yzvv,sn:2,rd:乙,st:55	en:to squint; (Cant.) what? huh?	
九	0x4e5d	py:jiǔ/jiū,Cant:gau2,JOn:kyuu ku,JKun:kokonotsu,Hangul:구,KoRom:kwu kyu,Viet:cửu,wb:vtn,zm:qy,sn:2,rd:丿乙,st:35	en:nine	
乞	0x4e5e	py:qǐ/qì,Cant:hat1,JOn:kotsu ki,JKun:kou koi,Hangul:걸,KoRom:kel ki,Viet:khất,wb:tnb,zm:mayd,sn:3,rd:乙,st:315	en:beg; request	
也	0x4e5f	py:yí/yě,Cant:jaa5,JOn:ya,JKun:nari mata,Hangul:야,KoRom:ya,Viet:dã,wb:bnhn,zm:yi,sn:3,rd:乙,st:525	en:also; classical final particle of strong affirmation or identity	
习	0x4e60	py:xí,Cant:zaap6,wb:nud,zm:yt,sn:3,rd:乙,st:541	en:practice; flapping wings	
乡	0x4e61	py:xiāng/xiǎng/xiàng,Cant:hoeng1,wb:xte,zm:zzm,sn:3,rd:乙,st:553	en:country; rural; village	
乢	0x4e62	py:gài,JOn:gai,JKun:kasa futa oou,wb:mnn,zm:llz,sn:4,rd:乙,st:2525	en:lid, to cover; to hide; a cover; an umbrella	
乣	0x4e63	py:jiǔ,JOn:kyuu,KoRom:kyu,wb:xnb,zm:zzz,sn:4,rd:乙,st:5545	
乤	0x4e64	KoRom:hal,wb:ghnb,zm:aiyd,sn:4,rd:乙,st:1245	en:first character of Korean place name 'Halpho'	
乥	0x4e65	wb:tunb,zm:muyd,sn:4,rd:乙,st:3435	en:kwukyel	
书	0x4e66	py:shū,Cant:syu1,wb:nnhy,zm:xyis,sn:4,rd:乛,st:5524	en:book, letter, document; writings	
乧	0x4e67	Hangul:둘,KoRom:twul,wb:ufnb,zm:tdey,sn:5,rd:乙,st:44125	
乨	0x4e68	py:shǐ,JOn:shi,JKun:hajimeru hajimaru,KoRom:si,wb:cknn,zm:zsjz,sn:6,rd:乙,st:542515	en:the beginning; to start, to begin, to be the first	
乩	0x4e69	py:jī,Cant:gei1,JOn:kei,JKun:uranau,KoRom:kyey,wb:hknn,zm:idjz,sn:6,rd:乙,st:212515	en:to divine	
乪	0x4e6a	py:náng,Cant:kek6,JOn:dou nou,JKun:kuma,wb:nld,zm:ydak,sn:6,rd:乙,st:525121	en:(Cant.) a bend in a river	
乫	0x4e6b	py:jiā,Hangul:갈,KoRom:kal,wb:lknb,zm:ymjy,sn:6,rd:乙,st:532515	en:used in Korean place names	
乬	0x4e6c	Hangul:걸,KoRom:kel,wb:annb,zm:hxyd,sn:5,rd:乙,st:15155	en:to hang	
乭	0x4e6d	py:shí,Hangul:돌,KoRom:tol,wb:dnb,zm:gyda,sn:6,rd:乙,st:132515	en:rock; used in Korean names	
乮	0x4e6e	wb:qtbn,zm:rhyy,sn:6,rd:乙,st:353525	
乯	0x4e6f	KoRom:ol,wb:tuhn,zm:muyd,sn:6,rd:乙,st:343125	
买	0x4e70	py:mǎi,Cant:maai5,wb:nudu,zm:xtgd,sn:6,rd:乙,st:544134	en:buy, purchase; bribe, persuade	
乱	0x4e71	py:luàn,Cant:lyun6,JOn:ran,JKun:midareru osameru midasu,KoRom:lan,Viet:loạn,wb:tdnn,zm:miz,sn:7,rd:乙,st:3122515	en:confusion, state of chaos, revolt	
乲	0x4e72	KoRom:cal,wb:uqwn,zm:tdry,sn:7,rd:乙,st:4135345	
乳	0x4e73	py:rǔ,Cant:jyu5,JOn:nyuu,JKun:chichi chi,Hangul:유,KoRom:yu,Viet:vú,wb:ebnn,zm:pvyz,sn:8,rd:乙乚,st:34435215	en:breast, nipples; milk, suckle	
乴	0x4e74	py:xué,JOn:setsu zechi,JKun:hineru,wb:rrnb,zm:dpyd,sn:8,rd:乙,st:12133125	
乵	0x4e75	py:yǎn,JOn:en,JKun:susumu,wb:unn,zm:sez,sn:8,rd:乙,st:41431125	en:to enter; to make progress to advance; to urge forward	
乶	0x4e76	py:fǔ,Hangul:볼,KoRom:phol,wb:gehn,zm:fbyd,sn:8,rd:乙,st:12511245	en:Korean place name Pholha	
乷	0x4e77	py:shā,Hangul:살,KoRom:sal,wb:iinb,zm:vkmy,sn:8,rd:乙,st:44123435	
乸	0x4e78	py:nǎ,Cant:naa2,wb:bxgu,zm:yizy,sn:8,rd:乙,st:52555414	en:(Cant.) feminine suffix	
乹	0x4e79	py:gān/qián,Cant:gon1,JOn:kan ken,JKun:kawaku kawakasu,wb:fjnn,zm:edez,sn:9,rd:乙,st:122511125	en:(Cant.) to clean; dried up	
乺	0x4e7a	KoRom:sol,wb:rnrn,zm:pdpy,sn:9,rd:乙,st:335133125	en:painting tool place name	
乻	0x4e7b	KoRom:el,wb:ywun,zm:syty,sn:9,rd:乙,st:415334445	
乼	0x4e7c	Hangul:줄,KoRom:cwul,wb:iygn,zm:vscy,sn:9,rd:乙,st:441411215	en:rope	
乽	0x4e7d	wb:ftjn,zm:bmyd,sn:9,rd:乙,st:121325115	
乾	0x4e7e	py:gān/qián,Cant:gon1/kin4,JOn:kan ken gen,JKun:kawaku kawakasu inui,Hangul:건,KoRom:kan ken,Viet:kiền,wb:fjtn,zm:edmy,sn:11,rd:乙,st:12251112315	en:dry; first hexagram; warming principle of the sun, penetrating and fertilizing, heavenly generative principle (male)	
乿	0x4e7f	py:zhì/luàn,JOn:chi ji,JKun:osameru,wb:exin,zm:pvzz,sn:11,rd:乙,st:34435542345	en:to cure, to heal	
亀	0x4e80	py:guī,JOn:ki kyuu kin,JKun:kame,KoRom:kwi kyun,wb:qjjn,zm:rkkz,sn:11,rd:乙,st:35251125115	en:turtle or tortoise; cuckold	
亁	0x4e81	py:gān,JOn:ken,KoRom:ken kan,wb:fjfn,zm:edmy,sn:12,rd:十乙,st:122511112315	en:dry; dried, as opposed to fresh	
亂	0x4e82	py:luàn,Cant:lyun6,JOn:ran ron,JKun:midareru,Hangul:난 란,KoRom:lan,Viet:loạn,wb:ecmn,zm:pvlz,sn:13,rd:乙,st:3443542554545	en:confusion, state of chaos; create chaos, revolt	
亃	0x4e83	py:lǐn/lìn,JOn:rin,JKun:ureru,wb:oqan,zm:ufmz,sn:13,rd:乙,st:4312343541525	en:name of a kind of animal	
亄	0x4e84	py:yì,Cant:ji4,JOn:i,JKun:musaboru,KoRom:uy,wb:fpgn,zm:bwuz,sn:13,rd:乙,st:1214512514315	en:greedy, stingy	
亅	0x4e85	py:jué,Cant:kyut3,JOn:ketsu,JKun:kagi,KoRom:kwel,wb:hhl,zm:iaaa,sn:1,rd:亅,st:2	en:hook; KangXi radical 6	
了	0x4e86	py:liǎo/le/liào,Cant:liu5,JOn:ryou,JKun:owaru tsuini,Hangul:료 요,KoRom:lyo,Viet:liễu,wb:bnh,zm:y,sn:2,rd:乙亅,st:52	en:to finish; particle of completed action	
亇	0x4e87	KoRom:ma,wb:qhk,zm:rivv,sn:3,rd:亅丿,st:352	en:kwukyel hammer	
予	0x4e88	py:yǔ/yú/zhù,Cant:jyu4/jyu5,JOn:yo sha,JKun:ataeru arakajime,Hangul:여,KoRom:ye,Viet:nhừ,wb:cbj,zm:xsxi,sn:4,rd:亅乙,st:5452	en:I, me; to give	
争	0x4e89	py:zhēng/zhèng,Cant:zaang1/zang1,JOn:sou,JKun:arasou arasoi ikadeka,wb:qvhj,zm:rxb,sn:6,rd:刀亅,st:355112	en:dispute, fight, contend, strive	
亊	0x4e8a	py:shì,JOn:ji zu shi,JKun:koto tsukau kototosuru,KoRom:sa,wb:guvh,zm:duxb,sn:7,rd:亅一,st:1435112	en:affair, matter, business; to serve; accident, incident	
事	0x4e8b	py:shì/zì,Cant:si6,JOn:ji shi,JKun:koto tsukau kototosuru,Hangul:사,KoRom:sa,Viet:sự,wb:gkvh,zm:djxb,sn:8,rd:亅一,st:12515112	en:affair, matter, business; to serve; accident, incident	
